time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-11-10,1e-8,10.8688802721088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-11,1e-8,10.6344729591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-12,1e-8,10.4000656462585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-13,1e-8,10.1656583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-14,1e-8,9.93125102040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-15,1e-8,9.69684370748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-16,1e-8,9.46243639455782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-17,1e-8,9.22802908163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-18,1e-8,8.99362176870748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-19,1e-8,8.75921445578231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-20,1e-8,8.52480714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-21,1e-8,8.24301654048716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-22,1e-8,7.96122593811718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-23,1e-8,7.6794353357472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-24,1e-8,7.39764473337722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-25,1e-8,7.11585413100724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-26,1e-8,6.83406352863726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-27,1e-8,6.55227292626728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-28,1e-8,6.2704823238973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
